ID;RUN;Nombre;Apellidos;Dirección;Correo Electrónico;Teléfono;tipo;titular;rol;profesión;especialidad;firma;institucion previsional de salud;
1876;915560-0;Antonio;Soto Muñoz;Av. Matta 6030;antonio.soto@dominiofake.net;919384867;titular;915560-0;Staff médico;kinesiólogo/a;;;Vida uno S.A.;
1878;107803-8;Ana;Espinoza Muñoz;Av. Tobalaba 3490;ana.espinoza@dominiofake.net;956268923;titular;107803-8;Staff médico, paciente;medico(a);Endocrinología Adulto;./firma/1878;Salud Ltda.;
1879;727194-8;Marta;Pérez Espinoza;Av. Macul 5186;marta.pérez@prueba.org;986112372;titular;727194-8;Staff médico, paciente;kinesiólogo/a;;;Menos vida S.A.;
1888;998339-2;Laura;Martínez Rojas;Av. La Florida 6212;laura.martínez@prueba.org;981238708;titular;998339-2;Staff médico;kinesiólogo/a;;;sinsalud S.A.;
1897;497313-5;Miguel;Silva Valenzuela;Av. Irarrazabal 10738;miguel.silva@correoexample.com;997159446;titular;497313-5;Staff médico;medico(a);Otorrinolaringología;./firma/1897;FONASA;
1908;885340-1;Pedro Andrés;Muñoz;Av. Vicuña Mackenna 10172;pedro.muñoz@prueba.org;922171682;titular;885340-1;Staff médico;medico(a);Gastroenterología Adulto;./firma/1908;Cruz pal cielo Ltda.;
1918;940782-0;Luis Isabel;Rojas;Av. Vicuña Mackenna 4079;luis.rojas@dominiofake.net;901932924;titular;940782-0;Staff médico;kinesiólogo/a;;;Cruz pal cielo Ltda.;
1928;742890-1;Lucía;Morales Rodríguez;Av. La Florida 4668;lucía.morales@mailficticio.cl;946845159;titular;742890-1;Staff médico, paciente;kinesiólogo/a;;;Fundación e imperio;
1940;100222-8;Laura;Rodríguez Rodríguez;Av. Apoquindo 5182;laura.rodríguez@prueba.org;955781556;titular;100222-8;Staff médico;medico(a);Oncología Médica;./firma/1940;FONASA;
1943;591364-0;Juan;López;Av. Grecia 11924;juan.lópez@dominiofake.net;914138666;titular;591364-0;Staff médico, paciente;medico(a);Oftalmología;./firma/1943;especial S.A.;
1963;650859-6;Pedro;Torres Araya;Av. Apoquindo 11337;pedro.torres@dominiofake.net;941877270;titular;650859-6;Staff médico, paciente;kinesiólogo/a;;;Colmena de avispas S.A.;
1977;743085-K;Luis;Contreras Morales;Av. Manuel Montt 7713;luis.contreras@correoexample.com;917307572;titular;743085-K;Staff médico;kinesiólogo/a;;;Vida uno S.A.;
1992;823161-3;Ana;Rojas Flores;Av. Manuel Montt 1471;ana.rojas@correoexample.com;991808006;titular;823161-3;Staff médico;medico(a);Endocrinología Adulto;./firma/1992;Colmena de avispas S.A.;
2009;963567-K;Francisco Andrés;Valenzuela Valenzuela;Av. La Florida 6543;francisco.valenzuela@mailficticio.cl;960463646;titular;963567-K;Staff médico, paciente;kinesiólogo/a;;;especial S.A.;
2013;915624-0;José Lucía;Flores Silva;Av. Recoleta 5721;josé.flores@prueba.org;928375374;titular;915624-0;Staff médico;kinesiólogo/a;;;especial S.A.;
2039;362862-0;Sofía;Valenzuela Fuentes;Av. Irarrazabal 387;sofía.valenzuela@correoexample.com;915957717;titular;362862-0;Staff médico;medico(a);Diabetología;./firma/2039;FONASA;
2041;397428-6;Antonio Andrés;Soto Morales;Av. Los Leones 11152;antonio.soto@correoexample.com;974536073;titular;397428-6;Staff médico;medico(a);Hematología;./firma/2041;sinsalud S.A.;
2056;431455-7;Antonio;Soto;Av. Matta 2026;antonio.soto@mailficticio.cl;949086986;titular;431455-7;Staff médico, paciente;medico(a);Hematología;./firma/2056;FONASA;
2058;731080-3;Antonio;Contreras;Av. Macul 6971;antonio.contreras@correoexample.com;964819461;titular;731080-3;Staff médico, paciente;medico(a);Gastroenterología Adulto;./firma/2058;Menos vida S.A.;
2081;947158-8;Andrés;Valenzuela Sepúlveda;Av. Matta 5882;andrés.valenzuela@mailficticio.cl;903499860;titular;947158-8;Staff médico;medico(a);Medicina Física y Rehabilitación;./firma/2081;Cruz de Malta S.A.;
2113;548790-0;Andrés Antonio;Soto Muñoz;Av. Providencia 7853;andrés.soto@mailficticio.cl;995571691;titular;548790-0;Staff médico;medico(a);Urología;./firma/2113;especial S.A.;
2116;541161-0;Marta Luis;Fuentes Pérez;Av. Recoleta 27;marta.fuentes@prueba.org;945387541;titular;541161-0;Staff médico, paciente;medico(a);Traumatología y Ortopedia;./firma/2116;Cruz pal cielo Ltda.;
2125;789375-2;Antonio Diego;Silva;Av. Vicuña Mackenna 3855;antonio.silva@correoexample.com;976165731;titular;789375-2;Staff médico;kinesiólogo/a;;;Cruz de Malta S.A.;
2135;874934-5;Laura;Flores Espinoza;Av. Pajaritos 11888;laura.flores@prueba.org;972401208;titular;874934-5;Staff médico, paciente;medico(a);Infectología;./firma/2135;Salud Ltda.;
2175;136337-9;Isabel;Soto Muñoz;Av. Providencia 11838;isabel.soto@mailficticio.cl;902981736;titular;136337-9;Staff médico, paciente;medico(a);Diabetología;./firma/2175;FONASA;
2184;555143-9;Juan Laura;Sepúlveda;Av. Recoleta 6121;juan.sepúlveda@mailficticio.cl;980715226;titular;555143-9;Staff médico, paciente;medico(a);Genética Clínica;./firma/2184;Medibanc S.A.;
2192;278586-2;Sofía;Valenzuela;Av. Matta 3465;sofía.valenzuela@mailficticio.cl;985883836;titular;278586-2;Staff médico;kinesiólogo/a;;;Vida uno S.A.;
2193;617487-6;Miguel;Fuentes;Av. Matta 810;miguel.fuentes@dominiofake.net;911787520;titular;617487-6;Staff médico;medico(a);Medicina Interna;./firma/2193;Fundación e imperio;
2196;978506-K;Juan;Valenzuela;Av. Vicuña Mackenna 10410;juan.valenzuela@dominiofake.net;951065294;titular;978506-K;Staff médico;kinesiólogo/a;;;Cruz pal cielo Ltda.;
2200;603569-8;Juan;Soto Valenzuela;Av. Libertador Bernardo O'Higgins 2520;juan.soto@dominiofake.net;943455365;titular;603569-8;Staff médico;kinesiólogo/a;;;Fundación e imperio;
2202;690276-6;Francisco;Rojas Martínez;Av. Vicuña Mackenna 2088;francisco.rojas@correoexample.com;901841459;titular;690276-6;Staff médico, paciente;medico(a);Nefrología Adulto;./firma/2202;Colmena de avispas S.A.;
2225;282898-7;Miguel María;Flores Espinoza;Av. Macul 348;miguel.flores@correoexample.com;988933147;titular;282898-7;Staff médico;kinesiólogo/a;;;FONASA;
2240;908056-2;Javier;Soto Contreras;Av. Independencia 3218;javier.soto@dominiofake.net;942108500;titular;908056-2;Staff médico, paciente;medico(a);Gastroenterología Adulto;./firma/2240;Vida uno S.A.;
2247;862548-4;Marta Lucía;Espinoza Muñoz;Av. Grecia 9955;marta.espinoza@dominiofake.net;983135642;titular;862548-4;Staff médico, paciente;kinesiólogo/a;;;FONASA;
2248;958447-1;Antonio Paula;González;Av. Matta 5291;antonio.gonzález@prueba.org;984839388;titular;958447-1;Staff médico;medico(a);Oncología Médica;./firma/2248;Menos vida S.A.;
2254;335936-0;Ana;Fuentes Muñoz;Av. Vicuña Mackenna 7683;ana.fuentes@mailficticio.cl;964204337;titular;335936-0;Staff médico, paciente;medico(a);Otorrinolaringología;./firma/2254;Colmena de avispas S.A.;
2267;899515-K;María Andrés;Fuentes;Av. Providencia 4862;maría.fuentes@dominiofake.net;988564696;titular;899515-K;Staff médico, paciente;kinesiólogo/a;;;Menos vida S.A.;
2270;653146-6;Marta;Rodríguez Muñoz;Av. Manuel Montt 4334;marta.rodríguez@dominiofake.net;957037454;titular;653146-6;Staff médico, paciente;medico(a);Psiquiatría Adultos;./firma/2270;FONASA;
2272;409506-5;Ana;Torres González;Av. Apoquindo 10133;ana.torres@correoexample.com;938917467;titular;409506-5;Staff médico;kinesiólogo/a;;;Salud Ltda.;
2273;571645-4;Carmen Paula;Silva;Av. Manuel Montt 1591;carmen.silva@dominiofake.net;938472636;titular;571645-4;Staff médico;kinesiólogo/a;;;Menos vida S.A.;
2288;461098-9;Lucía;González;Av. Grecia 2792;lucía.gonzález@prueba.org;906565964;titular;461098-9;Staff médico;kinesiólogo/a;;;Salud Ltda.;
2323;774546-K;Daniel Ana;Soto;Av. Manuel Montt 4976;daniel.soto@correoexample.com;913348144;titular;774546-K;Staff médico;kinesiólogo/a;;;Medibanc S.A.;
2339;355489-9;Marta Francisco;Contreras Contreras;Av. Manuel Montt 3297;marta.contreras@mailficticio.cl;932488201;titular;355489-9;Staff médico;kinesiólogo/a;;;especial S.A.;
2344;466721-2;Luis Juan;Díaz Torres;Av. Tobalaba 7011;luis.díaz@dominiofake.net;969462505;titular;466721-2;Staff médico, paciente;kinesiólogo/a;;;Menos vida S.A.;
2355;467780-3;Sofía Daniel;Araya Fuentes;Av. Pajaritos 1881;sofía.araya@prueba.org;956060935;titular;467780-3;Staff médico;kinesiólogo/a;;;sinsalud S.A.;
2359;120354-1;Ana;Sepúlveda González;Av. Tobalaba 8190;ana.sepúlveda@dominiofake.net;925109052;titular;120354-1;Staff médico, paciente;medico(a);Neurología Adultos;./firma/2359;Medibanc S.A.;
2371;183791-5;Pedro;López;Av. Los Leones 407;pedro.lópez@prueba.org;959951342;titular;183791-5;Staff médico;medico(a);Neurocirugía;./firma/2371;Cruz de Malta S.A.;
2402;203993-1;Lucía;López Valenzuela;Av. Matta 9930;lucía.lópez@mailficticio.cl;927534802;titular;203993-1;Staff médico, paciente;medico(a);Gastroenterología Adulto;./firma/2402;Fundación e imperio;
2405;970884-7;Antonio;Soto Muñoz;Av. Irarrazabal 1907;antonio.soto@dominiofake.net;997465616;titular;970884-7;Staff médico;medico(a);Medicina Física y Rehabilitación;./firma/2405;Menos vida S.A.;
2411;863234-0;Ana;Espinoza Torres;Av. Recoleta 7006;ana.espinoza@dominiofake.net;912483733;titular;863234-0;Staff médico;medico(a);Infectología;./firma/2411;sinsalud S.A.;
2428;894057-6;Antonio;Rojas Silva;Av. Apoquindo 5674;antonio.rojas@correoexample.com;980985858;titular;894057-6;Staff médico;medico(a);Neurología Adultos;./firma/2428;Cruz pal cielo Ltda.;
2429;132876-K;Javier;Díaz;Av. Tobalaba 10203;javier.díaz@mailficticio.cl;996814633;titular;132876-K;Staff médico, paciente;kinesiólogo/a;;;Medibanc S.A.;
2445;714816-K;Antonio;Hernández Espinoza;Av. Vicuña Mackenna 4217;antonio.hernández@correoexample.com;968370579;titular;714816-K;Staff médico;medico(a);Coloproctología;./firma/2445;Cruz pal cielo Ltda.;
2499;115752-3;Antonio Paula;Silva Sepúlveda;Av. Independencia 4534;antonio.silva@prueba.org;928080116;titular;115752-3;Staff médico, paciente;kinesiólogo/a;;;Cruz pal cielo Ltda.;
2520;698026-0;Isabel Juan;Martínez Contreras;Av. Los Leones 2911;isabel.martínez@dominiofake.net;961604761;titular;698026-0;Staff médico;medico(a);Psiquiatría Adultos;./firma/2520;Cruz de Malta S.A.;
2560;628964-9;Paula Lucía;Díaz Soto;Av. Macul 3668;paula.díaz@prueba.org;964521775;titular;628964-9;Staff médico, paciente;medico(a);Gastroenterología Adulto;./firma/2560;Cruz de Malta S.A.;
2566;609187-3;Pedro;Silva Sepúlveda;Av. Vicuña Mackenna 4782;pedro.silva@prueba.org;947257317;titular;609187-3;Staff médico, paciente;medico(a);Infectología;./firma/2566;Salud Ltda.;
2568;587352-5;Daniel;Morales Torres;Av. Apoquindo 5229;daniel.morales@dominiofake.net;948293570;titular;587352-5;Staff médico, paciente;kinesiólogo/a;;;Cruz de Malta S.A.;
2597;390520-9;Laura;Fuentes;Av. Manuel Montt 5720;laura.fuentes@dominiofake.net;905649462;titular;390520-9;Staff médico, paciente;kinesiólogo/a;;;especial S.A.;
2601;436446-5;Isabel;Pérez Araya;Av. Libertador Bernardo O'Higgins 1054;isabel.pérez@mailficticio.cl;942703810;titular;436446-5;Staff médico, paciente;medico(a);Medicina Interna;./firma/2601;sinsalud S.A.;
2622;549596-2;María;López Rodríguez;Av. Providencia 8296;maría.lópez@mailficticio.cl;933251731;titular;549596-2;Staff médico;kinesiólogo/a;;;Cruz de Malta S.A.;
2647;746321-9;Francisco Isabel;Rojas;Av. Independencia 5115;francisco.rojas@prueba.org;928533773;titular;746321-9;Staff médico;kinesiólogo/a;;;Cruz pal cielo Ltda.;
2681;352080-3;Juan Lucía;Fuentes;Av. La Florida 7336;juan.fuentes@prueba.org;990606359;titular;352080-3;Staff médico;kinesiólogo/a;;;Medibanc S.A.;
2683;134462-5;Paula;Pérez Silva;Av. Apoquindo 10920;paula.pérez@prueba.org;947499111;titular;134462-5;Staff médico, paciente;kinesiólogo/a;;;Salud Ltda.;
2693;383424-7;Daniel;Díaz Martínez;Av. Independencia 11239;daniel.díaz@mailficticio.cl;987798711;titular;383424-7;Staff médico;medico(a);Geriatría;./firma/2693;Cruz de Malta S.A.;
2718;921276-0;Javier Laura;López Silva;Av. Libertador Bernardo O'Higgins 2936;javier.lópez@mailficticio.cl;945951213;titular;921276-0;Staff médico, paciente;kinesiólogo/a;;;Medibanc S.A.;
2746;165944-8;Carmen;Rodríguez;Av. Grecia 2932;carmen.rodríguez@correoexample.com;925329502;titular;165944-8;Staff médico;medico(a);Obstetricia y Ginecología;./firma/2746;Menos vida S.A.;
2765;560020-0;Lucía;Muñoz Muñoz;Av. Libertador Bernardo O'Higgins 10527;lucía.muñoz@correoexample.com;962013300;titular;560020-0;Staff médico, paciente;kinesiólogo/a;;;Colmena de avispas S.A.;
2766;208400-7;Laura;González;Av. Tobalaba 747;laura.gonzález@correoexample.com;931814111;titular;208400-7;Staff médico, paciente;kinesiólogo/a;;;especial S.A.;
2776;660470-6;Marta Diego;Sepúlveda Pérez;Av. Apoquindo 7389;marta.sepúlveda@prueba.org;915660236;titular;660470-6;Staff médico, paciente;kinesiólogo/a;;;Menos vida S.A.;
2783;982067-1;José;Valenzuela;Av. Recoleta 3307;josé.valenzuela@dominiofake.net;923512884;titular;982067-1;Staff médico;kinesiólogo/a;;;Fundación e imperio;
2791;493335-4;Paula Miguel;Rodríguez Morales;Av. Macul 2419;paula.rodríguez@correoexample.com;902840189;titular;493335-4;Staff médico, paciente;kinesiólogo/a;;;sinsalud S.A.;
2796;314551-4;Paula Andrés;Pérez Soto;Av. Providencia 2561;paula.pérez@dominiofake.net;944108588;titular;314551-4;Staff médico, paciente;medico(a);Neurología Adultos;./firma/2796;sinsalud S.A.;
2804;840733-9;Pedro Luis;González;Av. Irarrazabal 11656;pedro.gonzález@prueba.org;965545935;titular;840733-9;Staff médico;medico(a);Infectología;./firma/2804;Cruz de Malta S.A.;
2810;557142-1;Javier;Araya Soto;Av. Vicuña Mackenna 5410;javier.araya@correoexample.com;974508117;titular;557142-1;Staff médico;medico(a);Oftalmología;./firma/2810;especial S.A.;
2817;292200-2;Pedro;Torres;Av. Apoquindo 5640;pedro.torres@mailficticio.cl;972011729;titular;292200-2;Staff médico;kinesiólogo/a;;;Salud Ltda.;
2832;757081-3;Juan;Silva;Av. Vicuña Mackenna 10994;juan.silva@dominiofake.net;974457331;titular;757081-3;Staff médico, paciente;medico(a);Cardiología;./firma/2832;sinsalud S.A.;
2833;505151-7;Marta Andrés;Espinoza Sepúlveda;Av. Independencia 5285;marta.espinoza@dominiofake.net;982462540;titular;505151-7;Staff médico;medico(a);Gastroenterología Adulto;./firma/2833;FONASA;
2845;736703-1;Francisco;Martínez Rojas;Av. Los Leones 4022;francisco.martínez@mailficticio.cl;925522102;titular;736703-1;Staff médico, paciente;kinesiólogo/a;;;FONASA;
2881;830907-8;Juan José;Fuentes;Av. Manuel Montt 1641;juan.fuentes@prueba.org;924721089;titular;830907-8;Staff médico, paciente;medico(a);Inffectología;./firma/2881;Colmena de avispas S.A.;
2902;895420-8;Francisco Carmen;Díaz Hernández;Av. Recoleta 10552;francisco.díaz@prueba.org;973924250;titular;895420-8;Staff médico;kinesiólogo/a;;;Fundación e imperio;
2907;732489-8;Andrés María;López Rodríguez;Av. Libertador Bernardo O'Higgins 9967;andrés.lópez@dominiofake.net;913600540;titular;732489-8;Staff médico;medico(a);Medicina Física y Rehabilitación;./firma/2907;sinsalud S.A.;
2908;438911-5;Pedro;Hernández;Av. Irarrazabal 3110;pedro.hernández@mailficticio.cl;908682642;titular;438911-5;Staff médico, paciente;kinesiólogo/a;;;Fundación e imperio;
2916;829488-7;Andrés Miguel;Sepúlveda Hernández;Av. Apoquindo 6435;andrés.sepúlveda@mailficticio.cl;943046300;titular;829488-7;Staff médico, paciente;kinesiólogo/a;;;Menos vida S.A.;
2947;422451-5;Marta;Torres López;Av. Irarrazabal 4550;marta.torres@correoexample.com;984582835;titular;422451-5;Staff médico;kinesiólogo/a;;;Fundación e imperio;
2970;271097-8;Luis;Soto;Av. Los Leones 5964;luis.soto@correoexample.com;966319447;titular;271097-8;Staff médico, paciente;kinesiólogo/a;;;especial S.A.;
2992;619830-9;Javier José;Hernández Hernández;Av. Matta 9548;javier.hernández@dominiofake.net;989804980;titular;619830-9;Staff médico, Staff médico,paciente;enfermero/a;;;Fundación e imperio;
